    [ ] Code 0: False, max_ratio: 0.0, min_ratio: 0.0
    [ ] Code 1: False, max_ratio: 0.21, min_ratio: 0.0784313725490196
    [ ] Code 2: False, max_ratio: 0.890625, min_ratio: 0.74
    [ ] Code 3: False, max_ratio: 0.890625, min_ratio: 0.0
    [ ] Code 4: False, max_ratio: 0.21, min_ratio: 0.0784313725490196
    [ ] Code 5: False, max_ratio: 0.28, min_ratio: 0.08984375
    [ ] Code 6: False, max_ratio: 0.84765625, min_ratio: 0.64
    [ ] Code 7: False, max_ratio: 0.0, min_ratio: 0.0
    [ ] Code 8: False, max_ratio: 0.0, min_ratio: 0.0
    [ ] Code 9: False, max_ratio: 0.32, min_ratio: 0.125
    [ ] Code 10: False, max_ratio: 0.890625, min_ratio: 0.85
    [ ] Code 11: False, max_ratio: 0.0, min_ratio: 0.0
    [ ] Code 12: False, max_ratio: 0.0, min_ratio: 0.0
    [ ] Code 13: False, max_ratio: 0.0, min_ratio: 0.0
    [ ] Code 14: False, max_ratio: 0.9375, min_ratio: 0.85
    [ ] Code 15: False, max_ratio: 0.11328125, min_ratio: 0.04296875
    [ ] Code 16: False, max_ratio: 0.0, min_ratio: 0.0
    [ ] Code 17: False, max_ratio: 0.8359375, min_ratio: 0.69
    [ ] Code 18: False, max_ratio: 0.16, min_ratio: 0.05859375
    [ ] Code 19: False, max_ratio: 0.87109375, min_ratio: 0.76953125
    [ ] Code 20: False, max_ratio: 0.890625, min_ratio: 0.85
    [ ] Code 21: False, max_ratio: 0.0, min_ratio: 0.0
    [ ] Code 22: False, max_ratio: 0.86328125, min_ratio: 0.75
    [ ] Code 23: False, max_ratio: 0.890625, min_ratio: 0.85
    [ ] Code 24: False, max_ratio: 0.15, min_ratio: 0.0390625
    [ ] Code 25: False, max_ratio: 0.0, min_ratio: 0.0
    [ ] Code 26: False, max_ratio: 0.26, min_ratio: 0.08823529411764706
    [ ] Code 27: False, max_ratio: 0.0, min_ratio: 0.0
    [ ] Code 28: False, max_ratio: 0.0, min_ratio: 0.0
    [ ] Code 29: False, max_ratio: 0.75, min_ratio: 0.61
    [ ] Code 30: False, max_ratio: 0.0, min_ratio: 0.0
    [ ] Code 31: False, max_ratio: 0.0, min_ratio: 0.0
    [ ] Code 32: False, max_ratio: 0.87890625, min_ratio: 0.69
    [ ] Code 33: False, max_ratio: 0.8359375, min_ratio: 0.69
    [ ] Code 34: False, max_ratio: 0.37, min_ratio: 0.09375
    [ ] Code 35: False, max_ratio: 0.88671875, min_ratio: 0.74
    [ ] Code 36: False, max_ratio: 0.0, min_ratio: 0.0
    [ ] Code 37: False, max_ratio: 0.0, min_ratio: 0.0
    [ ] Code 38: False, max_ratio: 0.0, min_ratio: 0.0
    [ ] Code 39: False, max_ratio: 0.80859375, min_ratio: 0.69
    [ ] Code 40: False, max_ratio: 0.0, min_ratio: 0.0
    [ ] Code 41: False, max_ratio: 0.0, min_ratio: 0.0
    [ ] Code 42: False, max_ratio: 0.0, min_ratio: 0.0
    [ ] Code 43: False, max_ratio: 0.0, min_ratio: 0.0
    [ ] Code 44: False, max_ratio: 0.0, min_ratio: 0.0
    [ ] Code 45: False, max_ratio: 0.86328125, min_ratio: 0.26
    [ ] Code 46: False, max_ratio: 0.0, min_ratio: 0.0
    [ ] Code 47: False, max_ratio: 0.0, min_ratio: 0.0
    [ ] Code 48: False, max_ratio: 0.859375, min_ratio: 0.125
    [ ] Code 49: False, max_ratio: 0.86328125, min_ratio: 0.75
    [ ] Code 50: False, max_ratio: 0.0, min_ratio: 0.0
    [ ] Code 51: False, max_ratio: 0.42, min_ratio: 0.18627450980392157
    [ ] Code 52: False, max_ratio: 0.9375, min_ratio: 0.85
    [ ] Code 53: False, max_ratio: 0.890625, min_ratio: 0.85
    [ ] Code 54: False, max_ratio: 0.078125, min_ratio: 0.0
    [ ] Code 55: False, max_ratio: 0.90625, min_ratio: 0.85
    [ ] Code 56: False, max_ratio: 0.3828125, min_ratio: 0.21484375
    [ ] Code 57: False, max_ratio: 0.0, min_ratio: 0.0
    [ ] Code 58: False, max_ratio: 0.21, min_ratio: 0.04296875
    [ ] Code 59: False, max_ratio: 0.0, min_ratio: 0.0
    [ ] Code 60: False, max_ratio: 0.80859375, min_ratio: 0.49
    [ ] Code 61: False, max_ratio: 0.0, min_ratio: 0.0
    [ ] Code 62: False, max_ratio: 0.0, min_ratio: 0.0
    [ ] Code 63: False, max_ratio: 0.0, min_ratio: 0.0
Accepted: 43/396
100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 396/396 [42:24<00:00,  6.43s/it]
Accepted: 43/396
Savings to results/arc_problems_validation_400_extra_newline_v2_l3.1-8b-inst-fft-induction-barc-heavy-200k-old-200k-lr1e-5-ep3_temp_0.8_0319133621337110_exec_results_v4.jsonl
